State,Total
Alabama (2),5463966
Alaska,686142
Arizona,6064542
Arkansas,3555142
California,31349073
Colorado,5096394
Connecticut (2),2756485
Delaware,472175
Dist. of Col.,363287
Florida,19180165
Georgia (5),9142656
Hawaii,1235473
Idaho (3),1976199.166
Illinois,11003729
Indiana (4),6241290.933
Iowa,3839312
Kansas,2606313
Kentucky,4408730
Louisiana (3),3862489.789
Maine,1387656
Maryland,4910674
Massachusetts,5207052
Michigan,9556452
Minnesota,5511960
Mississippi,2385768
Missouri (2),5603939
Montana,2140014
Nebraska,1933528
Nevada (2),2676143
New Hampshire,1417949
New Jersey,6249905
New Mexico,1862673
New York (3),9408795.689
North Carolina,8707506
North Dakota,925186
Ohio,10892377
Oklahoma,3353167
Oregon,4010635
Pennsylvania,10927881
Rhode Island,801654
South Carolina,5091679
South Dakota,1433044
Tennessee,6712722
Texas,23012990
Utah,2838505
Vermont,614340
Virginia,7652036
Washington,7966147
West Virginia,1219024
Wisconsin,5769058
Wyoming,870969
Total,282354992.6
